id,idlista,nome,obrigatoriedade,recorrencia,nome_arquivo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
3,1,Demonstrativo de execução de receitas e despesas com recursos do subsídio - retirado do Portal Empreender,s,un,Demonstrativo de execução de receitas e despesas com recursos do Sebrae .png,2020-03-09 18:20:31,goliveira,2020-03-19 12:06:23,goliveira
4,1,"Cópia dos extratos bancários da conta corrente única do convênio, relativa a movimentação de recursos e aplicação financeira",s,un,,2020-03-09 19:05:23,goliveira,2020-03-19 12:06:23,goliveira
5,1,Cópia do comprovante de recolhimento do saldo remanescente (quando houver),n,un,,2020-03-09 19:06:18,goliveira,2020-03-19 12:06:23,goliveira
7,1,"Declaração de impessoalidade, moralidade e economicidade",s,un,Anexo 4 -DeclaracaodeObservanciadosPrincipiosImpessoalidadeMoralidadeEconomicidade.pdf,2020-03-09 19:08:55,goliveira,2020-03-19 12:06:23,goliveira
9,1,Declaração de cumprimento dos procedimentos estabelecidos na INS 41/05 – SEBRAE e de repasse descentralizado pela CACB,s,un,Anexo 5 -DeclaracaodeCumprimentodeProcedimentos.pdf,2020-03-09 19:11:17,goliveira,2020-03-19 12:06:23,goliveira
10,1,Planilha com informações base para cadastro das empresas no SIACWEB. O Excel está em:Arquivos>ListaArquivos>EC2017/2019>EC2017ModelosEncerramento,s,un,PlanilhaSiacweb-InformacoesEmpresarios.pdf,2020-03-09 19:14:59,goliveira,2020-03-19 12:10:18,goliveira
11,1,Pesquisas T0 e TF Realizadas,s,un,,2020-03-09 19:15:53,goliveira,2020-03-19 12:06:23,goliveira
13,1,Relatório final de encerramento do projeto (Em Word),s,un,CompetitivoModelo_RelatorioFinalProjeto_RevisaoAnna(FINAL).pdf,2020-03-10 17:48:49,goliveira,2020-03-19 12:06:23,goliveira
14,2,t 1,n,un,12241321_868699176579238_8324548357126203028_n.jpg,2020-03-11 10:18:23,renato.rossi,2020-03-11 10:18:23,renato.rossi
15,3,Contrato,s,mu,ModeloContratoALInvest062018_Consultoria.docx,2020-06-18 17:07:56,ogalimberti,2020-06-18 17:07:57,ogalimberti
16,3,Termo de Referencia,s,mu,TermoDeReferencia_Consultoria.docx,2020-06-18 17:07:56,ogalimberti,2020-06-18 17:07:57,ogalimberti
17,3,Relatório Detalhado,s,mu,ModeloRelatorioCapacitacoes2018.docx,2020-06-18 17:07:56,ogalimberti,2020-06-18 17:07:57,ogalimberti
18,3,Relatório Hoja de Trabajo,s,mu,Julho_HojaDeTrabajo2018_DominescoSolucoes.xlsx,2020-06-18 17:07:57,ogalimberti,2020-06-18 17:07:57,ogalimberti
19,3,Prints da Reunião (Participantes),s,mu,,2020-06-18 17:07:57,ogalimberti,2020-06-18 17:07:57,ogalimberti
20,4,kdfnsfna,s,un,,2020-10-30 12:06:41,nmabeck,2020-10-30 12:06:41,nmabeck
21,6,Relatório Final,s,un,ApoioaDemandas-RelatorioFinalProjeto.docx,2022-10-25 10:47:18,renato.rossi,2023-03-24 12:46:11,nmabeck
22,7,Lista de Presença,s,mu,ApoioaDemandas-ListadePresenca202302.docx.doc,2023-02-02 17:27:56,amauger,2023-03-24 11:52:23,nmabeck
23,7,"Relatório de Capacitação, Oficinas, Palestras, Workshops e Seminários",s,mu,ApoioaDemandas-RelatoriodeCapacitacaoPalestraSeminarioOficinaWorkshop.doc,2023-02-02 17:27:56,amauger,2023-03-24 11:52:23,nmabeck
24,7,Relatório de Consultoria e Mentoria,s,mu,ApoioaDemandas-RelatorioConsultoria.docx,2023-02-02 17:27:56,amauger,2023-03-24 11:52:23,nmabeck
25,7,Controle de horas de consultoria,s,mu,ControleHorasConsultoria.xlsx,2023-02-02 17:27:56,amauger,2023-03-24 11:52:23,nmabeck
26,7,Ficha de Avaliação da Atividade,n,mu,ApoioaDemandas-FichaAvaliacaoAtividade202211.docx,2023-02-02 17:27:56,amauger,2023-03-24 11:52:23,nmabeck
27,7,Relatório de Viagem,s,mu,ApoioaDemandas-RelatoriodeViagem202211.doc,2023-02-02 17:27:56,amauger,2023-03-24 11:52:23,nmabeck
28,7,Relatório de Acompanhamento,s,un,ApoioaDemandas-RelatorioAcompanhamento202301.docx,2023-02-02 17:27:56,amauger,2023-03-24 11:52:23,nmabeck
30,7,Banner Empreender,n,mu,BANNERS EMPREENDER.pdf,2023-03-03 10:14:52,amauger,2023-03-24 11:52:23,nmabeck
31,7,Banner Empreender + AL Invest,n,mu,BANNERS EMPREENDER ALINVEST.pdf,2023-03-03 10:14:52,amauger,2023-03-24 11:52:23,nmabeck
33,7,Tipos de Despesas e Documentos Comprobatórios,s,mu,ApoioaDemandas-TiposdeDespesaseDocumentosComprobatorios.pdf,2023-03-24 12:10:41,nmabeck,2023-03-24 12:28:57,nmabeck
35,7,Termo de Referência,s,mu,ApoioaDemandas-TermodeReferencia.docx,2023-03-24 12:31:08,nmabeck,2023-03-24 12:31:08,nmabeck
36,7,Resumo Cotação,s,mu,ApoioaDemandas-ResumoCotacao.docx,2023-03-24 12:32:36,nmabeck,2023-03-24 12:32:36,nmabeck
37,7,Relatório de Despesas de Viagem,s,mu,ApoioaDemandas-RelatoriodeDespesasdeViagem.xlsx,2023-03-24 12:34:45,nmabeck,2023-03-24 12:34:45,nmabeck
38,7,Declaração de Contrapartida Econômica,s,mu,ApoioaDemandas-DeclaracaoContrapartidaEconomica.docx,2023-03-24 12:35:53,nmabeck,2023-03-24 12:35:53,nmabeck
39,7,Declaração de Quilômetros Rodados,s,mu,ApoioaDemandas-DeclaracaodeQuilometrosRodados.docx,2023-03-24 12:38:27,nmabeck,2023-03-24 12:38:27,nmabeck
40,6,Declaração de Cumprimento de Procedimentos,s,un,ApoioaDemandas-DeclaracaodeCumprimentodeProcedimentos.docx,2023-03-24 12:46:11,nmabeck,2023-03-24 12:46:11,nmabeck
41,6,"Declaração de Observância dos Princípios de Impessoalidade, Moralidade e Economicidade",s,un,ApoioaDemandas-DeclaracaodeObservanciadosPrincipios.docx,2023-03-24 12:48:30,nmabeck,2023-03-24 12:48:31,nmabeck