id_pj_base,id_projeto,grupo,edicao,dimensao,indice
189,1001,MEG,T0,Índice MEG,"64,5"
189,1002,MEG,T0,Índice MEG,"75,38"
189,1007,MEG,T0,Índice MEG,"70,02"
189,1036,MEG,T0,Índice MEG,"64,02"
189,1037,MEG,T0,Índice MEG,"61,94"
189,1052,MEG,T0,Índice MEG,"54,05"
189,1059,MEG,T0,Índice MEG,"70,69"
189,1061,MEG,T0,Índice MEG,"75,15"
189,1062,MEG,T0,Índice MEG,"73,87"
189,1065,MEG,T0,Índice MEG,"57,53"
189,1066,MEG,T0,Índice MEG,"75,93"
189,1067,MEG,T0,Índice MEG,"40,2"
189,1070,MEG,T0,Índice MEG,"65,84"
189,1075,MEG,T0,Índice MEG,"72,02"
189,1080,MEG,T0,Índice MEG,"61,36"
189,1081,MEG,T0,Índice MEG,"59,77"
189,1082,MEG,T0,Índice MEG,"74,49"
189,1087,MEG,T0,Índice MEG,"59,01"
189,1089,MEG,T0,Índice MEG,"71,71"
189,1091,MEG,T0,Índice MEG,"66,47"
189,1092,MEG,T0,Índice MEG,"65,44"
189,1096,MEG,T0,Índice MEG,"64,87"
189,1098,MEG,T0,Índice MEG,"54,39"
189,1101,MEG,T0,Índice MEG,"65,59"
189,1112,MEG,T0,Índice MEG,"78,6"
189,1113,MEG,T0,Índice MEG,"66,44"
189,1118,MEG,T0,Índice MEG,"54,65"
189,1125,MEG,T0,Índice MEG,"80,07"
189,1129,MEG,T0,Índice MEG,"62,28"
189,1133,MEG,T0,Índice MEG,"67,01"
189,1136,MEG,T0,Índice MEG,"51,74"
189,1137,MEG,T0,Índice MEG,"61,53"
189,1138,MEG,T0,Índice MEG,"63,14"
189,1150,MEG,T0,Índice MEG,"74,83"
189,1151,MEG,T0,Índice MEG,"78,9"
189,1155,MEG,T0,Índice MEG,"64,19"
189,1158,MEG,T0,Índice MEG,"80,07"
189,1161,MEG,T0,Índice MEG,"59,27"
189,1162,MEG,T0,Índice MEG,"66,44"
189,1166,MEG,T0,Índice MEG,"60,41"
189,1170,MEG,T0,Índice MEG,"51,82"
189,1172,MEG,T0,Índice MEG,"54,79"
189,1173,MEG,T0,Índice MEG,"75,55"
189,1176,MEG,T0,Índice MEG,"96,4"
189,1178,MEG,T0,Índice MEG,"99,47"
189,1179,MEG,T0,Índice MEG,"96,91"
189,1182,MEG,T0,Índice MEG,"66,5"
189,1183,MEG,T0,Índice MEG,"63,76"
189,1184,MEG,T0,Índice MEG,"64,08"
189,1192,MEG,T0,Índice MEG,"67,27"
189,1193,MEG,T0,Índice MEG,"82,56"
189,1194,MEG,T0,Índice MEG,"52,42"
189,1206,MEG,T0,Índice MEG,"63,77"
189,1218,MEG,T0,Índice MEG,"70,81"
189,1219,MEG,T0,Índice MEG,"57,43"
189,1228,MEG,T0,Índice MEG,"61,49"
189,1235,MEG,T0,Índice MEG,"62,5"
189,1237,MEG,T0,Índice MEG,"70,61"
189,1240,MEG,T0,Índice MEG,"69,41"
189,1241,MEG,T0,Índice MEG,"78,78"
189,1242,MEG,T0,Índice MEG,"71,42"
189,1001,MEG,T0,Liderança,"71,83"
189,1002,MEG,T0,Liderança,"81,82"
189,1007,MEG,T0,Liderança,"73,44"
189,1036,MEG,T0,Liderança,"64,93"
189,1037,MEG,T0,Liderança,"68,06"
189,1052,MEG,T0,Liderança,"62,5"
189,1059,MEG,T0,Liderança,"73,44"
189,1061,MEG,T0,Liderança,"73,61"
189,1062,MEG,T0,Liderança,"72,92"
189,1065,MEG,T0,Liderança,"61,9"
189,1066,MEG,T0,Liderança,"86,39"
189,1067,MEG,T0,Liderança,50
189,1070,MEG,T0,Liderança,"74,54"
189,1075,MEG,T0,Liderança,"79,86"
189,1080,MEG,T0,Liderança,"68,94"
189,1081,MEG,T0,Liderança,"64,58"
189,1082,MEG,T0,Liderança,"84,06"
189,1087,MEG,T0,Liderança,"59,72"
189,1089,MEG,T0,Liderança,"80,73"
189,1091,MEG,T0,Liderança,"67,06"
189,1092,MEG,T0,Liderança,"71,43"
189,1096,MEG,T0,Liderança,"64,06"
189,1098,MEG,T0,Liderança,"56,25"
189,1101,MEG,T0,Liderança,"69,55"
189,1112,MEG,T0,Liderança,"76,39"
189,1113,MEG,T0,Liderança,"71,53"
189,1118,MEG,T0,Liderança,"45,31"
189,1125,MEG,T0,Liderança,"83,93"
189,1129,MEG,T0,Liderança,"65,28"
189,1133,MEG,T0,Liderança,"76,63"
189,1136,MEG,T0,Liderança,"54,17"
189,1137,MEG,T0,Liderança,"60,83"
189,1138,MEG,T0,Liderança,"66,67"
189,1150,MEG,T0,Liderança,"80,21"
189,1151,MEG,T0,Liderança,"87,5"
189,1155,MEG,T0,Liderança,"66,67"
189,1158,MEG,T0,Liderança,"87,5"
189,1161,MEG,T0,Liderança,"67,86"
189,1162,MEG,T0,Liderança,"72,68"
189,1166,MEG,T0,Liderança,"66,25"
189,1170,MEG,T0,Liderança,"54,49"
189,1172,MEG,T0,Liderança,"68,98"
189,1173,MEG,T0,Liderança,"81,82"
189,1176,MEG,T0,Liderança,"95,83"
189,1178,MEG,T0,Liderança,"99,54"
189,1179,MEG,T0,Liderança,"98,02"
189,1182,MEG,T0,Liderança,"70,83"
189,1183,MEG,T0,Liderança,"66,29"
189,1184,MEG,T0,Liderança,"65,62"
189,1192,MEG,T0,Liderança,"65,62"
189,1193,MEG,T0,Liderança,"86,74"
189,1194,MEG,T0,Liderança,"65,28"
189,1206,MEG,T0,Liderança,"68,27"
189,1218,MEG,T0,Liderança,80
189,1219,MEG,T0,Liderança,"77,08"
189,1228,MEG,T0,Liderança,"69,23"
189,1235,MEG,T0,Liderança,"67,5"
189,1237,MEG,T0,Liderança,"81,94"
189,1240,MEG,T0,Liderança,"68,56"
189,1241,MEG,T0,Liderança,"81,25"
189,1242,MEG,T0,Liderança,"71,57"
189,1001,MEG,T0,Estratégias e Planos,68
189,1002,MEG,T0,Estratégias e Planos,"79,26"
189,1007,MEG,T0,Estratégias e Planos,"72,66"
189,1036,MEG,T0,Estratégias e Planos,"54,69"
189,1037,MEG,T0,Estratégias e Planos,"61,11"
189,1052,MEG,T0,Estratégias e Planos,"72,32"
189,1059,MEG,T0,Estratégias e Planos,"62,5"
189,1061,MEG,T0,Estratégias e Planos,"73,61"
189,1062,MEG,T0,Estratégias e Planos,"69,79"
189,1065,MEG,T0,Estratégias e Planos,"55,36"
189,1066,MEG,T0,Estratégias e Planos,"83,75"
189,1067,MEG,T0,Estratégias e Planos,"41,25"
189,1070,MEG,T0,Estratégias e Planos,75
189,1075,MEG,T0,Estratégias e Planos,75
189,1080,MEG,T0,Estratégias e Planos,"60,23"
189,1081,MEG,T0,Estratégias e Planos,"57,29"
189,1082,MEG,T0,Estratégias e Planos,"79,62"
189,1087,MEG,T0,Estratégias e Planos,50
189,1089,MEG,T0,Estratégias e Planos,"57,81"
189,1091,MEG,T0,Estratégias e Planos,"62,2"
189,1092,MEG,T0,Estratégias e Planos,"63,39"
189,1096,MEG,T0,Estratégias e Planos,"62,11"
189,1098,MEG,T0,Estratégias e Planos,"43,75"
189,1101,MEG,T0,Estratégias e Planos,"65,1"
189,1112,MEG,T0,Estratégias e Planos,75
189,1113,MEG,T0,Estratégias e Planos,"56,25"
189,1118,MEG,T0,Estratégias e Planos,"39,06"
189,1125,MEG,T0,Estratégias e Planos,"78,12"
189,1129,MEG,T0,Estratégias e Planos,"57,55"
189,1133,MEG,T0,Estratégias e Planos,"68,48"
189,1136,MEG,T0,Estratégias e Planos,"40,18"
189,1137,MEG,T0,Estratégias e Planos,"51,25"
189,1138,MEG,T0,Estratégias e Planos,"56,25"
189,1150,MEG,T0,Estratégias e Planos,"80,47"
189,1151,MEG,T0,Estratégias e Planos,"84,03"
189,1155,MEG,T0,Estratégias e Planos,"61,25"
189,1158,MEG,T0,Estratégias e Planos,"77,08"
189,1161,MEG,T0,Estratégias e Planos,"54,46"
189,1162,MEG,T0,Estratégias e Planos,"56,25"
189,1166,MEG,T0,Estratégias e Planos,"59,38"
189,1170,MEG,T0,Estratégias e Planos,"51,56"
189,1172,MEG,T0,Estratégias e Planos,"62,5"
189,1173,MEG,T0,Estratégias e Planos,"77,84"
189,1176,MEG,T0,Estratégias e Planos,"96,88"
189,1178,MEG,T0,Estratégias e Planos,100
189,1179,MEG,T0,Estratégias e Planos,"97,92"
189,1182,MEG,T0,Estratégias e Planos,"57,81"
189,1183,MEG,T0,Estratégias e Planos,"65,91"
189,1184,MEG,T0,Estratégias e Planos,"57,29"
189,1192,MEG,T0,Estratégias e Planos,"60,16"
189,1193,MEG,T0,Estratégias e Planos,"84,94"
189,1194,MEG,T0,Estratégias e Planos,"59,9"
189,1206,MEG,T0,Estratégias e Planos,"65,87"
189,1218,MEG,T0,Estratégias e Planos,"68,75"
189,1219,MEG,T0,Estratégias e Planos,75
189,1228,MEG,T0,Estratégias e Planos,"61,46"
189,1235,MEG,T0,Estratégias e Planos,"56,25"
189,1237,MEG,T0,Estratégias e Planos,"77,08"
189,1240,MEG,T0,Estratégias e Planos,"64,77"
189,1241,MEG,T0,Estratégias e Planos,"81,88"
189,1242,MEG,T0,Estratégias e Planos,"66,91"
189,1001,MEG,T0,Clientes,72
189,1002,MEG,T0,Clientes,"78,64"
189,1007,MEG,T0,Clientes,"68,12"
189,1036,MEG,T0,Clientes,"63,33"
189,1037,MEG,T0,Clientes,"57,22"
189,1052,MEG,T0,Clientes,"59,29"
189,1059,MEG,T0,Clientes,"66,25"
189,1061,MEG,T0,Clientes,"67,22"
189,1062,MEG,T0,Clientes,"77,5"
189,1065,MEG,T0,Clientes,"58,57"
189,1066,MEG,T0,Clientes,87
189,1067,MEG,T0,Clientes,27
189,1070,MEG,T0,Clientes,"69,44"
189,1075,MEG,T0,Clientes,"76,67"
189,1080,MEG,T0,Clientes,"63,18"
189,1081,MEG,T0,Clientes,"61,67"
189,1082,MEG,T0,Clientes,"79,78"
189,1087,MEG,T0,Clientes,"56,67"
189,1089,MEG,T0,Clientes,"72,5"
189,1091,MEG,T0,Clientes,"63,57"
189,1092,MEG,T0,Clientes,"64,29"
189,1096,MEG,T0,Clientes,"65,31"
189,1098,MEG,T0,Clientes,"56,25"
189,1101,MEG,T0,Clientes,"67,5"
189,1112,MEG,T0,Clientes,"80,83"
189,1113,MEG,T0,Clientes,60
189,1118,MEG,T0,Clientes,"65,62"
189,1125,MEG,T0,Clientes,"81,07"
189,1129,MEG,T0,Clientes,"66,25"
189,1133,MEG,T0,Clientes,"69,55"
189,1136,MEG,T0,Clientes,"52,86"
189,1137,MEG,T0,Clientes,68
189,1138,MEG,T0,Clientes,"66,82"
189,1150,MEG,T0,Clientes,"75,62"
189,1151,MEG,T0,Clientes,"78,33"
189,1155,MEG,T0,Clientes,66
189,1158,MEG,T0,Clientes,"87,5"
189,1161,MEG,T0,Clientes,"57,14"
189,1162,MEG,T0,Clientes,"63,89"
189,1166,MEG,T0,Clientes,65
189,1170,MEG,T0,Clientes,"57,08"
189,1172,MEG,T0,Clientes,"71,67"
189,1173,MEG,T0,Clientes,"73,18"
189,1176,MEG,T0,Clientes,"96,25"
189,1178,MEG,T0,Clientes,100
189,1179,MEG,T0,Clientes,"97,14"
189,1182,MEG,T0,Clientes,"71,25"
189,1183,MEG,T0,Clientes,"70,45"
189,1184,MEG,T0,Clientes,"59,17"
189,1192,MEG,T0,Clientes,"76,56"
189,1193,MEG,T0,Clientes,"91,19"
189,1194,MEG,T0,Clientes,"52,5"
189,1206,MEG,T0,Clientes,"67,69"
189,1218,MEG,T0,Clientes,83
189,1219,MEG,T0,Clientes,65
189,1228,MEG,T0,Clientes,"65,83"
189,1235,MEG,T0,Clientes,"64,5"
189,1237,MEG,T0,Clientes,"72,92"
189,1240,MEG,T0,Clientes,"79,55"
189,1241,MEG,T0,Clientes,"78,5"
189,1242,MEG,T0,Clientes,"72,35"
189,1001,MEG,T0,Sociedade,"71,83"
189,1002,MEG,T0,Sociedade,"81,82"
189,1007,MEG,T0,Sociedade,"73,44"
189,1036,MEG,T0,Sociedade,"64,93"
189,1037,MEG,T0,Sociedade,"68,06"
189,1052,MEG,T0,Sociedade,"62,5"
189,1059,MEG,T0,Sociedade,"73,44"
189,1061,MEG,T0,Sociedade,"73,61"
189,1062,MEG,T0,Sociedade,"72,92"
189,1065,MEG,T0,Sociedade,"61,9"
189,1066,MEG,T0,Sociedade,"86,39"
189,1067,MEG,T0,Sociedade,50
189,1070,MEG,T0,Sociedade,"74,54"
189,1075,MEG,T0,Sociedade,"79,86"
189,1080,MEG,T0,Sociedade,"68,94"
189,1081,MEG,T0,Sociedade,"64,58"
189,1082,MEG,T0,Sociedade,"84,06"
189,1087,MEG,T0,Sociedade,"59,72"
189,1089,MEG,T0,Sociedade,"80,73"
189,1091,MEG,T0,Sociedade,"67,06"
189,1092,MEG,T0,Sociedade,"71,43"
189,1096,MEG,T0,Sociedade,"64,06"
189,1098,MEG,T0,Sociedade,"56,25"
189,1101,MEG,T0,Sociedade,"69,55"
189,1112,MEG,T0,Sociedade,"76,39"
189,1113,MEG,T0,Sociedade,"71,53"
189,1118,MEG,T0,Sociedade,"45,31"
189,1125,MEG,T0,Sociedade,"83,93"
189,1129,MEG,T0,Sociedade,"65,28"
189,1133,MEG,T0,Sociedade,"76,63"
189,1136,MEG,T0,Sociedade,"54,17"
189,1137,MEG,T0,Sociedade,"60,83"
189,1138,MEG,T0,Sociedade,"66,67"
189,1150,MEG,T0,Sociedade,"80,21"
189,1151,MEG,T0,Sociedade,"87,5"
189,1155,MEG,T0,Sociedade,"66,67"
189,1158,MEG,T0,Sociedade,"87,5"
189,1161,MEG,T0,Sociedade,"67,86"
189,1162,MEG,T0,Sociedade,"72,68"
189,1166,MEG,T0,Sociedade,"66,25"
189,1170,MEG,T0,Sociedade,"54,49"
189,1172,MEG,T0,Sociedade,"68,98"
189,1173,MEG,T0,Sociedade,"81,82"
189,1176,MEG,T0,Sociedade,"95,83"
189,1178,MEG,T0,Sociedade,"99,54"
189,1179,MEG,T0,Sociedade,"98,02"
189,1182,MEG,T0,Sociedade,"70,83"
189,1183,MEG,T0,Sociedade,"66,29"
189,1184,MEG,T0,Sociedade,"65,62"
189,1192,MEG,T0,Sociedade,"65,62"
189,1193,MEG,T0,Sociedade,"86,74"
189,1194,MEG,T0,Sociedade,"65,28"
189,1206,MEG,T0,Sociedade,"68,27"
189,1218,MEG,T0,Sociedade,80
189,1219,MEG,T0,Sociedade,"77,08"
189,1228,MEG,T0,Sociedade,"69,23"
189,1235,MEG,T0,Sociedade,"67,5"
189,1237,MEG,T0,Sociedade,"81,94"
189,1240,MEG,T0,Sociedade,"68,56"
189,1241,MEG,T0,Sociedade,"81,25"
189,1242,MEG,T0,Sociedade,"71,57"
189,1001,MEG,T0,Informações e Conhecimento,68
189,1002,MEG,T0,Informações e Conhecimento,"79,26"
189,1007,MEG,T0,Informações e Conhecimento,"72,66"
189,1036,MEG,T0,Informações e Conhecimento,"54,69"
189,1037,MEG,T0,Informações e Conhecimento,"61,11"
189,1052,MEG,T0,Informações e Conhecimento,"72,32"
189,1059,MEG,T0,Informações e Conhecimento,"62,5"
189,1061,MEG,T0,Informações e Conhecimento,"73,61"
189,1062,MEG,T0,Informações e Conhecimento,"69,79"
189,1065,MEG,T0,Informações e Conhecimento,"55,36"
189,1066,MEG,T0,Informações e Conhecimento,"83,75"
189,1067,MEG,T0,Informações e Conhecimento,"41,25"
189,1070,MEG,T0,Informações e Conhecimento,75
189,1075,MEG,T0,Informações e Conhecimento,75
189,1080,MEG,T0,Informações e Conhecimento,"60,23"
189,1081,MEG,T0,Informações e Conhecimento,"57,29"
189,1082,MEG,T0,Informações e Conhecimento,"79,62"
189,1087,MEG,T0,Informações e Conhecimento,50
189,1089,MEG,T0,Informações e Conhecimento,"57,81"
189,1091,MEG,T0,Informações e Conhecimento,"62,2"
189,1092,MEG,T0,Informações e Conhecimento,"63,39"
189,1096,MEG,T0,Informações e Conhecimento,"62,11"
189,1098,MEG,T0,Informações e Conhecimento,"43,75"
189,1101,MEG,T0,Informações e Conhecimento,"65,1"
189,1112,MEG,T0,Informações e Conhecimento,75
189,1113,MEG,T0,Informações e Conhecimento,"56,25"
189,1118,MEG,T0,Informações e Conhecimento,"39,06"
189,1125,MEG,T0,Informações e Conhecimento,"78,12"
189,1129,MEG,T0,Informações e Conhecimento,"57,55"
189,1133,MEG,T0,Informações e Conhecimento,"68,48"
189,1136,MEG,T0,Informações e Conhecimento,"40,18"
189,1137,MEG,T0,Informações e Conhecimento,"51,25"
189,1138,MEG,T0,Informações e Conhecimento,"56,25"
189,1150,MEG,T0,Informações e Conhecimento,"80,47"
189,1151,MEG,T0,Informações e Conhecimento,"84,03"
189,1155,MEG,T0,Informações e Conhecimento,"61,25"
189,1158,MEG,T0,Informações e Conhecimento,"77,08"
189,1161,MEG,T0,Informações e Conhecimento,"54,46"
189,1162,MEG,T0,Informações e Conhecimento,"56,25"
189,1166,MEG,T0,Informações e Conhecimento,"59,38"
189,1170,MEG,T0,Informações e Conhecimento,"51,56"
189,1172,MEG,T0,Informações e Conhecimento,"62,5"
189,1173,MEG,T0,Informações e Conhecimento,"77,84"
189,1176,MEG,T0,Informações e Conhecimento,"96,88"
189,1178,MEG,T0,Informações e Conhecimento,100
189,1179,MEG,T0,Informações e Conhecimento,"97,92"
189,1182,MEG,T0,Informações e Conhecimento,"57,81"
189,1183,MEG,T0,Informações e Conhecimento,"65,91"
189,1184,MEG,T0,Informações e Conhecimento,"57,29"
189,1192,MEG,T0,Informações e Conhecimento,"60,16"
189,1193,MEG,T0,Informações e Conhecimento,"84,94"
189,1194,MEG,T0,Informações e Conhecimento,"59,9"
189,1206,MEG,T0,Informações e Conhecimento,"65,87"
189,1218,MEG,T0,Informações e Conhecimento,"68,75"
189,1219,MEG,T0,Informações e Conhecimento,75
189,1228,MEG,T0,Informações e Conhecimento,"61,46"
189,1235,MEG,T0,Informações e Conhecimento,"56,25"
189,1237,MEG,T0,Informações e Conhecimento,"77,08"
189,1240,MEG,T0,Informações e Conhecimento,"64,77"
189,1241,MEG,T0,Informações e Conhecimento,"81,88"
189,1242,MEG,T0,Informações e Conhecimento,"66,91"
189,1001,MEG,T0,Pessoas,72
189,1002,MEG,T0,Pessoas,"78,64"
189,1007,MEG,T0,Pessoas,"68,12"
189,1036,MEG,T0,Pessoas,"63,33"
189,1037,MEG,T0,Pessoas,"57,22"
189,1052,MEG,T0,Pessoas,"59,29"
189,1059,MEG,T0,Pessoas,"66,25"
189,1061,MEG,T0,Pessoas,"67,22"
189,1062,MEG,T0,Pessoas,"77,5"
189,1065,MEG,T0,Pessoas,"58,57"
189,1066,MEG,T0,Pessoas,87
189,1067,MEG,T0,Pessoas,27
189,1070,MEG,T0,Pessoas,"69,44"
189,1075,MEG,T0,Pessoas,"76,67"
189,1080,MEG,T0,Pessoas,"63,18"
189,1081,MEG,T0,Pessoas,"61,67"
189,1082,MEG,T0,Pessoas,"79,78"
189,1087,MEG,T0,Pessoas,"56,67"
189,1089,MEG,T0,Pessoas,"72,5"
189,1091,MEG,T0,Pessoas,"63,57"
189,1092,MEG,T0,Pessoas,"64,29"
189,1096,MEG,T0,Pessoas,"65,31"
189,1098,MEG,T0,Pessoas,"56,25"
189,1101,MEG,T0,Pessoas,"67,5"
189,1112,MEG,T0,Pessoas,"80,83"
189,1113,MEG,T0,Pessoas,60
189,1118,MEG,T0,Pessoas,"65,62"
189,1125,MEG,T0,Pessoas,"81,07"
189,1129,MEG,T0,Pessoas,"66,25"
189,1133,MEG,T0,Pessoas,"69,55"
189,1136,MEG,T0,Pessoas,"52,86"
189,1137,MEG,T0,Pessoas,68
189,1138,MEG,T0,Pessoas,"66,82"
189,1150,MEG,T0,Pessoas,"75,62"
189,1151,MEG,T0,Pessoas,"78,33"
189,1155,MEG,T0,Pessoas,66
189,1158,MEG,T0,Pessoas,"87,5"
189,1161,MEG,T0,Pessoas,"57,14"
189,1162,MEG,T0,Pessoas,"63,89"
189,1166,MEG,T0,Pessoas,65
189,1170,MEG,T0,Pessoas,"57,08"
189,1172,MEG,T0,Pessoas,"71,67"
189,1173,MEG,T0,Pessoas,"73,18"
189,1176,MEG,T0,Pessoas,"96,25"
189,1178,MEG,T0,Pessoas,100
189,1179,MEG,T0,Pessoas,"97,14"
189,1182,MEG,T0,Pessoas,"71,25"
189,1183,MEG,T0,Pessoas,"70,45"
189,1184,MEG,T0,Pessoas,"59,17"
189,1192,MEG,T0,Pessoas,"76,56"
189,1193,MEG,T0,Pessoas,"91,19"
189,1194,MEG,T0,Pessoas,"52,5"
189,1206,MEG,T0,Pessoas,"67,69"
189,1218,MEG,T0,Pessoas,83
189,1219,MEG,T0,Pessoas,65
189,1228,MEG,T0,Pessoas,"65,83"
189,1235,MEG,T0,Pessoas,"64,5"
189,1237,MEG,T0,Pessoas,"72,92"
189,1240,MEG,T0,Pessoas,"79,55"
189,1241,MEG,T0,Pessoas,"78,5"
189,1242,MEG,T0,Pessoas,"72,35"
189,1001,MEG,T0,Processos,"83,33"
189,1002,MEG,T0,Processos,"81,82"
189,1007,MEG,T0,Processos,"78,12"
189,1036,MEG,T0,Processos,"74,31"
189,1037,MEG,T0,Processos,"66,67"
189,1052,MEG,T0,Processos,"63,1"
189,1059,MEG,T0,Processos,"91,67"
189,1061,MEG,T0,Processos,"81,48"
189,1062,MEG,T0,Processos,"80,55"
189,1065,MEG,T0,Processos,"77,38"
189,1066,MEG,T0,Processos,"87,5"
189,1067,MEG,T0,Processos,100
189,1070,MEG,T0,Processos,"88,89"
189,1075,MEG,T0,Processos,"75,69"
189,1080,MEG,T0,Processos,"66,67"
189,1081,MEG,T0,Processos,"86,11"
189,1082,MEG,T0,Processos,"85,51"
189,1087,MEG,T0,Processos,"69,45"
189,1089,MEG,T0,Processos,"72,92"
189,1091,MEG,T0,Processos,"78,57"
189,1092,MEG,T0,Processos,"82,14"
189,1096,MEG,T0,Processos,"75,52"
189,1098,MEG,T0,Processos,"63,19"
189,1101,MEG,T0,Processos,"84,03"
189,1112,MEG,T0,Processos,"97,22"
189,1113,MEG,T0,Processos,"76,39"
189,1118,MEG,T0,Processos,100
189,1125,MEG,T0,Processos,"85,71"
189,1129,MEG,T0,Processos,"68,75"
189,1133,MEG,T0,Processos,"77,27"
189,1136,MEG,T0,Processos,"61,9"
189,1137,MEG,T0,Processos,"76,11"
189,1138,MEG,T0,Processos,"67,42"
189,1150,MEG,T0,Processos,"69,79"
189,1151,MEG,T0,Processos,"86,11"
189,1155,MEG,T0,Processos,65
189,1158,MEG,T0,Processos,"80,55"
189,1161,MEG,T0,Processos,"78,57"
189,1162,MEG,T0,Processos,"66,67"
189,1166,MEG,T0,Processos,"64,17"
189,1170,MEG,T0,Processos,"61,81"
189,1172,MEG,T0,Processos,"73,15"
189,1173,MEG,T0,Processos,"82,58"
189,1176,MEG,T0,Processos,"95,83"
189,1178,MEG,T0,Processos,100
189,1179,MEG,T0,Processos,"96,43"
189,1182,MEG,T0,Processos,"63,89"
189,1183,MEG,T0,Processos,"71,21"
189,1184,MEG,T0,Processos,"72,92"
189,1192,MEG,T0,Processos,"72,92"
189,1193,MEG,T0,Processos,"95,83"
189,1194,MEG,T0,Processos,"58,33"
189,1206,MEG,T0,Processos,"70,51"
189,1218,MEG,T0,Processos,85
189,1219,MEG,T0,Processos,"91,67"
189,1228,MEG,T0,Processos,"69,44"
189,1235,MEG,T0,Processos,"68,33"
189,1237,MEG,T0,Processos,"77,78"
189,1240,MEG,T0,Processos,"84,85"
189,1241,MEG,T0,Processos,"86,67"
189,1001,MEG,T0,Resultados,"63,54"
189,1002,MEG,T0,Resultados,"83,81"
189,1007,MEG,T0,Resultados,"65,62"
189,1036,MEG,T0,Resultados,"64,06"
189,1037,MEG,T0,Resultados,"61,81"
189,1052,MEG,T0,Resultados,"58,93"
189,1059,MEG,T0,Resultados,"72,66"
189,1061,MEG,T0,Resultados,"72,92"
189,1062,MEG,T0,Resultados,"66,67"
189,1065,MEG,T0,Resultados,"55,36"
189,1066,MEG,T0,Resultados,"80,8"
189,1067,MEG,T0,Resultados,"36,25"
189,1070,MEG,T0,Resultados,"66,67"
189,1075,MEG,T0,Resultados,"69,79"
189,1080,MEG,T0,Resultados,"61,36"
189,1081,MEG,T0,Resultados,"64,06"
189,1082,MEG,T0,Resultados,"76,63"
189,1087,MEG,T0,Resultados,"57,29"
189,1089,MEG,T0,Resultados,"71,88"
189,1091,MEG,T0,Resultados,"66,37"
189,1092,MEG,T0,Resultados,"66,96"
189,1096,MEG,T0,Resultados,"62,5"
189,1098,MEG,T0,Resultados,"58,33"
189,1101,MEG,T0,Resultados,"68,75"
189,1112,MEG,T0,Resultados,"82,29"
189,1113,MEG,T0,Resultados,"59,38"
189,1118,MEG,T0,Resultados,"58,59"
189,1125,MEG,T0,Resultados,"75,45"
189,1129,MEG,T0,Resultados,"59,9"
189,1133,MEG,T0,Resultados,"60,8"
189,1136,MEG,T0,Resultados,"47,32"
189,1137,MEG,T0,Resultados,"57,08"
189,1138,MEG,T0,Resultados,"64,2"
189,1150,MEG,T0,Resultados,"69,53"
189,1151,MEG,T0,Resultados,"78,47"
189,1155,MEG,T0,Resultados,65
189,1158,MEG,T0,Resultados,"77,08"
189,1161,MEG,T0,Resultados,"57,14"
189,1162,MEG,T0,Resultados,"64,58"
189,1166,MEG,T0,Resultados,"56,88"
189,1170,MEG,T0,Resultados,"51,04"
189,1172,MEG,T0,Resultados,"66,67"
189,1173,MEG,T0,Resultados,"72,16"
189,1176,MEG,T0,Resultados,"97,4"
189,1178,MEG,T0,Resultados,"98,61"
189,1179,MEG,T0,Resultados,"99,7"
189,1182,MEG,T0,Resultados,"68,75"
189,1183,MEG,T0,Resultados,"62,5"
189,1184,MEG,T0,Resultados,"64,58"
189,1192,MEG,T0,Resultados,"66,8"
189,1193,MEG,T0,Resultados,"86,25"
189,1194,MEG,T0,Resultados,"53,41"
189,1206,MEG,T0,Resultados,"66,83"
189,1218,MEG,T0,Resultados,"76,25"
189,1219,MEG,T0,Resultados,"93,75"
189,1228,MEG,T0,Resultados,"61,98"
189,1235,MEG,T0,Resultados,"61,25"
189,1237,MEG,T0,Resultados,"69,79"
189,1240,MEG,T0,Resultados,"72,16"
189,1241,MEG,T0,Resultados,"73,12"