idsegmento,dssegmento,ativo
92,Academias de ginástica,true
93,Açougues,true
94,Administradoras de condomínio,true
95,Agências de publicidade,true
96,Agências de turismo,true
97,Agropecuárias,true
98,Apicultores,true
99,Artesanato,true
100,Auto-elétricas,true
101,Autoescolas (CFCs),true
102,Automecânica pesada,true
103,Automecânicas,true
104,Autopeças,true
105,Banca de revistas,true
106,Bares restaurantes e lanchonetes,true
107,Eventos - Buffet,true
108,Cafeicultores,true
109,Cajuculturores,true
110,Calçados (indústria),true
111,Calçados (loja),true
112,Caprinocultores,true
113,Catadores de lixo,true
114,Cerâmicas - indústria,true
115,Chateação e pintura,true
116,Clínicas de estética e beleza,true
117,Comércio de tintas,true
118,Comércio exterior,true
119,Comércio varejista,true
120,Concessionárias de veículos,true
121,Confecções - lingerie,true
122,Confecções - comércio,true
123,Confecções - indústria,true
124,Confecções - indústria e comércio,true
125,Confecções - infantil,true
126,Construção civil,true
127,Construção naval,true
128,Corretoras de seguros,true
129,Costureiras,true
130,Criação de gado leiteiro,true
131,Distribuição de gás,true
132,Doces caseiros,true
133,Educação Profissional,true
134,Eletroeletrônicos,true
135,Empretecos,true
136,Engenheiros e arquitetos,true
137,Escola ensino superior,true
138,Escolas de idiomas,true
139,Escolas particulares,true
140,Escritórios de contabilidade e contadores,true
141,Esquadrias de alumínio,true
142,Esquadrias de madeira,true
143,Farmácias e drogarias,true
144,Feirantes (pequenos produtores),true
145,Fisioterapeutas,true
146,Floriculturas,true
147,Fonoaudiólogos,true
148,Gráficas - indústria,true
149,Gráficas - loja,true
150,Hotéis pousadas e pensões,true
151,Imobiliárias,true
152,Informática - comércio,true
153,Informática - serviços,true
154,Joias,true
155,Jovens empresários,true
156,Laboratórios de análise clínicas,true
157,Livrarias,true
158,Locadora de veículos,true
159,Madeireiras,true
160,Mandiocultores,true
161,Marcenarias,true
162,Marmorarias e granitos,true
163,Materiais de construção - indústria,true
164,Materiais de construção - loja,true
165,Médicos,true
166,Mercados mercearias e supermercados,true
167,Metalmecânica,true
168,Metalúrgicas,true
169,Mineração,true
170,Motos (loja),true
171,Mototaxistas,true
172,Móveis - indústria,true
173,Móveis - loja,true
174,Mulher empresária,true
175,Nutricionistas,true
176,Odontólogos,true
177,Oleiros,true
178,Ópticas,true
179,Outros,true
180,Ovinocultores,true
181,Paisagismo,true
182,Panificadoras e confeitarias,true
183,Papelaria,true
184,Parque industrial,true
185,Pequenos agricultores,true
186,Postos de combustÍveis,true
187,Pré-moldados e lajes,true
188,Produtores de banana,true
189,Produtores de cachaças,true
190,Produtores de carvão,true
191,Produtores de morango,true
192,Produtores orgânicos,true
193,Psicólogos,true
194,Psicultores,true
195,Salões de beleza e cabeleireiros,true
196,Serralherias,true
197,Sorveterias,true
198,Taxistas,true
199,Técnicos em prótese dentaria,true
200,Transportadoras,true
201,Transporte escolar,true
202,Transporte turístico,true
203,Transporte urbano,true
204,Veterinários,true
205,Vídeo locadoras,true
206,Vidraçarias,true
207,Vinícolas,true
208,Economia criativa,true
209,Teste,false
210,Eventos - audiovisual,true
211,Comunicação,true
212,Turismo,true
213,Conselho CMEC,true