idsubtema,idtema,subtema
1,1,Arranjo Produtivo Local
2,1,Associativismo
3,1,Central de Negócios
4,1,Consórcio de Empresas
5,1,Cooperação e Certificação
6,1,Cooperação e Inclusão Social
7,1,Cooperativa Financeira
8,1,Cooperativismo
9,1,Cultura da Cooperação 
10,1,Economia Colaborativa (compartilhada)
11,1,Empreedimentos Coletivos - sociedade de propósito específico
12,1,Encadeamento Produtivo
13,1,Liderança
14,1,Oscip
15,1,Rede de Empresas
16,1,Sociedade Garantidora de Crédito
17,2,Abertura de Negócios
18,2,Comportamento Empreendedor
19,2,Educação Empreendedora
20,2,Empresas com Potencial de Alto Impacto
21,2,Ideias e Tendências de Negócios
22,2,Modelo de Negócios
23,2,Plano de Negócios
24,3,Capital Empreendedor
25,3,Controles Financeiros
26,3,Convênio BB/Orientação para o Crédito
27,3,Convênio BB/Recuperação do Crédito
28,3,Cooperativismo de Crédito
29,3,Empresa Simples de Crédito
30,3,Financiamento
31,3,Financiamento Coletivo/Crowdfuding
32,3,Fundo de Aval às Micro e Pequenas Empresas - FAMPE
33,3,Fundos de Investimento
34,3,Garantias
35,3,Gestão Financeira
36,3,Inadinplência a Renegociação de Dívidas
37,3,Investimento Angel
38,3,Meios de Pagamento
39,3,Microcrédito
40,3,Microfinanças
41,3,Orientação para o Crédito
42,3,Planejamento e Gestão Financeira
43,3,Precificação
44,3,Renegociação de Dívidas
45,3,Seguros
46,3,Sociedade de Garantias de Créditos
47,3,Tributos
48,3,Viabilidade Econômico Financeira
49,4,Aceleração/incubação de Empresas
50,4,Água; Ar e Solo 
51,4,Cadeia de Suprimentos
52,4,Certificação / Inspeção
53,4,Corporate Venture
54,4,Desenvolvimento do Produto
55,4,Desing de Ambiente
56,4,Desing de Comunicação
57,4,Desing de Produto 
58,4,Desing de Serviços
59,4,Eficiência Energética
60,4,Gestão da Inovação 
61,4,Gestão da Qualidade 
62,4,Gestão de Sustentabilidade 
63,4,Informação Tecnológica
64,4,Mapeamento e Melhoria de Processos
65,4,Melhoria Genética e Biotecnologia
66,4,Planejamento Tecnológico
67,4,Produtividade
68,4,Projeto de Desenvolvimento Tencnológico e Inovação
69,4,Propriedade Intelectual
70,4,Resíduos
71,4,Saúde e Segurança do Trabalho
72,4,Sustentabilidade
73,4,Tic
74,4,Transformação Digital
75,5,Abertura e Legalização de Empresas
76,5,Compras Públicas e Contratos
77,5,Fiscalização Orientadora
78,5,Impostos e Tributação no SIMPLES 
79,5,Legislação do MEI
80,5,Lei Geral no Município
81,5,Registro e Patentes
82,6,Canal de Distribuição
83,6,Central de Negócios
84,6,Comércio Eletrônico
85,6,Compras corporativas - pública e privada
86,6,Exportação
87,6,Feiras e Eventos
88,6,Franquia
89,6,Importação
90,6,Inteligência de Mercado
91,6,Pesquisa de Mercado
92,6,Planejamento Estratégico de Marketing
93,6,Ponto Comercial
94,6,Preço
95,6,Produto
96,6,Promoção
97,6,Relacionamentos com Cliente - CRM
98,6,Vendas
99,7,Automoção do Processo Produtivo
100,7,Avaliação da Conformidade/Certificação